"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.29182914322427,0.39,0.084,0,"0","PRKCD"
0,1.12582182654448,0.828,0.522,0,"0","ANXA1"
0,1.60138003737155,0.523,0.218,0,"0","MAN2B1"
0,1.92475584509491,0.455,0.151,0,"0","VMP1"
0,2.42651349748636,0.368,0.064,0,"0","MARCH1"
0,3.02670456603863,0.355,0.051,0,"0","APOBR"
0,1.79821941745868,0.48,0.176,0,"0","SAT2"
0,2.23511400473345,0.405,0.102,0,"0","ARAP1"
0,2.23607015888139,0.413,0.11,0,"0","PICALM"
0,2.73368579324235,0.366,0.063,0,"0","NCF4"
0,2.66278224607356,0.372,0.07,0,"0","EIF4EBP1"
0,2.49835841968006,0.377,0.076,0,"0","GNS"
0,3.26983840169157,0.337,0.037,0,"0","RASSF4"
0,1.89149924423964,0.432,0.132,0,"0","UBXN11"
0,1.5517399830023,0.542,0.243,0,"0","SOD2"
0,4.27846643955767,0.317,0.018,0,"0","LTBR"
0,2.95368592041829,0.354,0.056,0,"0","NUDT16"
0,2.03987149915562,0.421,0.123,0,"0","ETV6"
0,1.50674920313033,0.534,0.237,0,"0","CLTA"
0,1.83282320800717,0.501,0.204,0,"0","HIF1A"
0,5.0690396483989,0.309,0.013,0,"0","JDP2"
0,1.47951906883505,0.523,0.228,0,"0","CASP1"
0,4.92283260597625,0.306,0.011,0,"0","NFAM1"
0,3.32092736623193,0.333,0.039,0,"0","HRH2"
0,2.18274793995342,0.403,0.111,0,"0","UBE2D1"
0,3.1068404630841,0.324,0.032,0,"0","LMO2"
0,0.800972568707588,0.537,0.245,0,"0","TPM4"
0,2.31327324058441,0.383,0.093,0,"0","SPTLC2"
0,3.68928838521471,0.317,0.028,0,"0","SLC43A2"
0,1.14699174796637,0.726,0.439,0,"0","FKBP1A"
0,2.11558836989695,0.378,0.092,0,"0","SKAP2"
0,1.99708860833835,0.413,0.128,0,"0","TMEM167A"
0,3.36349113621794,0.319,0.035,0,"0","KIAA0930"
0,3.562943370333,0.319,0.035,0,"0","SCO2"
0,4.69500365567895,0.298,0.014,0,"0","TMEM170B"
0,2.64260974005591,0.352,0.068,0,"0","CHP1"
0,1.3616872582011,0.626,0.344,0,"0","ATP6V1F"
0,2.12733768437266,0.378,0.097,0,"0","SH3BP2"
0,4.89601378357434,0.292,0.011,0,"0","HNMT"
0,5.64035372646789,0.292,0.011,0,"0","EGR1"
0,3.02455988210838,0.331,0.051,0,"0","CKAP4"
0,4.01998415167059,0.301,0.021,0,"0","RAB3D"
0,1.20367078129761,0.563,0.283,0,"0","VASP"
0,2.22279568260369,0.374,0.095,0,"0","NADK"
0,1.23483882841444,0.704,0.425,0,"0","GNB2"
0,1.26121655292665,0.711,0.433,0,"0","EVI2B"
0,5.97714382356721,0.282,0.005,0,"0","CREB5"
0,1.25521955007325,0.836,0.559,0,"0","SAMHD1"
0,2.73369019842995,0.329,0.053,0,"0","CTNNA1"
0,1.56226786947741,0.484,0.208,0,"0","MGAT1"
0,1.64854322668621,0.459,0.183,0,"0","ZFAND5"
0,3.95215903368984,0.295,0.019,0,"0","SIRPB1"
0,1.29906805550812,0.724,0.449,0,"0","VAMP8"
0,3.94812304740217,0.298,0.023,0,"0","ZNF467"
0,4.04933069732222,0.296,0.021,0,"0","SMARCD3"
0,1.6044158543691,0.448,0.174,0,"0","RAB24"
0,0.620631343919528,0.328,0.054,0,"0","F13A1"
0,3.52967785522358,0.298,0.025,0,"0","DOK3"
0,1.71906022038506,0.43,0.158,0,"0","ATG16L2"
0,4.09198948157416,0.29,0.018,0,"0","SLC8A1"
0,1.27421922898535,0.641,0.37,0,"0","ACAP2"
0,1.18808091222617,0.644,0.374,0,"0","FMNL1"
0,1.16660971908717,0.586,0.316,0,"0","CAPNS1"
0,1.23884183331767,0.778,0.509,0,"0","LRRFIP1"
0,3.22597899419231,0.306,0.037,0,"0","DPYSL2"
0,1.37766768306488,0.81,0.541,0,"0","NFKBIA"
0,4.46744312864181,0.282,0.013,0,"0","KCNE3"
0,3.51514833519005,0.297,0.028,0,"0","SMCO4"
0,0.525276284666112,0.55,0.282,0,"0","NCOA4"
0,7.19884670518158,0.27,0.002,0,"0","CYP27A1"
